,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
resnet18_32x32_4096_elegant_no_hooks,6067986432,46758048,1794801672,1115291648,46758048,888385536,1713335792
resnet50_32x32_64_naive_no_hooks,6771392512,102228128,111667720,8388608,102228128,6542645920,0
resnet50_32x32_128_naive_no_hooks,13313708544,102228128,223335432,16777216,102228128,13085287840,0
resnet50_32x32_256_naive_no_hooks,26426816000,102228128,446670856,33554432,102228128,26170571680,0
resnet50_32x32_64_reweight_no_hooks,824318976,102228128,111667720,8388608,102228128,603987200,0
resnet50_32x32_128_reweight_no_hooks,1541485568,102228128,223335432,16777216,102228128,1207974400,0
resnet50_32x32_256_reweight_no_hooks,2976870912,102228128,446670856,33554432,102228128,2415948800,0
resnet50_32x32_512_reweight_no_hooks,5851885056,102228128,893341704,67108864,102228128,4831897600,0
resnet50_32x32_1024_reweight_no_hooks,11597669888,102228128,1786683400,134217728,102228128,9663795200,0
resnet50_32x32_2048_reweight_no_hooks,23085372928,102228128,3573366792,268435456,102228128,19327590400,0
resnet50_32x32_64_elegant_no_hooks,1002267648,102228128,111667720,62515200,102228128,389133824,167097540
resnet50_32x32_128_elegant_no_hooks,1281361408,102228128,223335432,125030400,102228128,402989056,248700316
resnet50_32x32_256_elegant_no_hooks,1962734080,102228128,446670856,250060800,102228128,430699520,495548156
resnet50_32x32_512_elegant_no_hooks,3450074624,102228128,893341704,500121600,102228128,486120448,1138915196
resnet50_32x32_1024_elegant_no_hooks,5907093504,102228128,1786683400,1000243200,102228128,596962304,1858238140
resnet50_32x32_2048_elegant_no_hooks,8161709056,102228128,3573366792,2000486400,102228128,818646016,1046393596
resnet152_32x32_32_naive_no_hooks,8210061312,240771232,115602696,4194304,240771232,7704743456,0
resnet152_32x32_64_naive_no_hooks,15917006848,240771232,231205384,8388608,240771232,15409482912,0
resnet152_32x32_128_naive_no_hooks,31327359488,240771232,462410760,16777216,240771232,30818961824,0
resnet152_32x32_32_reweight_no_hooks,660914176,240771232,115602696,4194304,240771232,301993600,0
resnet152_32x32_64_reweight_no_hooks,1080916992,240771232,231205384,8388608,240771232,1048832000,0
resnet152_32x32_128_reweight_no_hooks,1919218688,240771232,462410760,16777216,240771232,2097664000,0
resnet152_32x32_256_reweight_no_hooks,3593662976,240771232,924821512,33554432,240771232,4195328000,0
resnet152_32x32_512_reweight_no_hooks,6947253760,240771232,1849643016,67108864,240771232,8390656000,0
resnet152_32x32_1024_reweight_no_hooks,13652682240,240771232,3699286024,134217728,240771232,16781312000,0
resnet152_32x32_32_elegant_no_hooks,1625422848,240771232,115602696,61142016,240771232,251480064,551430860
resnet152_32x32_64_elegant_no_hooks,1947184640,240771232,231205384,122284032,240771232,270990592,656771060
resnet152_32x32_128_elegant_no_hooks,2558306304,240771232,462410760,244568064,240771232,310011648,858445196
resnet152_32x32_256_elegant_no_hooks,4380493312,240771232,924821512,489136128,240771232,388053760,1745283196
resnet152_32x32_512_elegant_no_hooks,6453009920,240771232,1849643016,978272256,240771232,544137984,2160652828
resnet152_32x32_1024_elegant_no_hooks,12727440896,240771232,3699286024,1956544512,240771232,856306432,4833207868
bert-base_32x32_16_naive_no_hooks,8040289792,433250316,256495944,12582912,431671308,6906753804,0
bert-base_32x32_32_naive_no_hooks,14958118400,433250316,512983688,25165824,431671308,13813507596,0
bert-base_32x32_64_naive_no_hooks,28761008640,433250316,1025959176,50331648,431671308,27627015180,0
bert-base_32x32_16_reweight_no_hooks,1953244672,433250316,256495944,12582912,431671308,1425224128,0
bert-base_32x32_32_reweight_no_hooks,3381417472,433250316,512983688,25165824,431671308,2850448256,0
bert-base_32x32_64_reweight_no_hooks,6237763584,433250316,1025959176,50331648,431671308,5700896512,0
bert-base_32x32_128_reweight_no_hooks,11950455296,433250316,2051910152,100663296,431671308,11401793024,0
bert-base_32x32_256_reweight_no_hooks,23378038272,433250316,4103812104,201326592,431671308,22803586048,0
bert-base_32x32_16_elegant_no_hooks,1740374528,433250316,256495944,176210112,431671308,436629888,0
bert-base_32x32_32_elegant_no_hooks,2066463232,433250316,512983688,352420224,431671308,444445440,0
bert-base_32x32_64_elegant_no_hooks,2749508608,433250316,1025959176,704840448,431671308,460076544,0
bert-base_32x32_128_elegant_no_hooks,4120384000,433250316,2051910152,1409680896,431671308,491338752,0
bert-base_32x32_256_elegant_no_hooks,6845623296,433250316,4103812104,2819361792,431671308,553863168,0
bert-base_32x32_512_elegant_no_hooks,12373224448,433250316,8207616008,5638723584,431671308,678912000,0
bert-large_32x32_4_naive_no_hooks,8356600320,1334329356,170437720,4194304,1332224012,5328902348,0
